review_uid,destination,source,language_review,stars,date,text_clean,polaridad_sugerida,aspecto_sugerido,motivo_minado,score_minado,prioridad_anotacion,label
gm_4ee4f929dfffb69c,Parque Arqueológico de Sacsayhuamán,Google Maps,en,2,2018-07-24T22:37:38.758Z,"I didn't actually go inside, but the thing is: you don't have to. You can see the whole place just fine from above if walk up the hill next to it. For a bunch of rocks (albeit historical rocks) it's also waaaaayyyyyy too expensive.",negativo,atractivos,"estrellas=2 | lex_neg:expensive,too expensive | conector:but | estrellas_bajas",0.9,alta,negativo
gm_4ee4f929dfffb69c,Parque Arqueológico de Sacsayhuamán,Google Maps,en,2,2018-07-24T22:37:38.758Z,"I didn't actually go inside, but the thing is: you don't have to. You can see the whole place just fine from above if walk up the hill next to it. For a bunch of rocks (albeit historical rocks) it's also waaaaayyyyyy too expensive.",negativo,costos,"estrellas=2 | lex_neg:expensive,too expensive | conector:but | estrellas_bajas",0.9,alta,negativo
gm_4ee4f929dfffb69c,Parque Arqueológico de Sacsayhuamán,Google Maps,en,2,2018-07-24T22:37:38.758Z,"I didn't actually go inside, but the thing is: you don't have to. You can see the whole place just fine from above if walk up the hill next to it. For a bunch of rocks (albeit historical rocks) it's also waaaaayyyyyy too expensive.",negativo,accesibilidad,"estrellas=2 | lex_neg:expensive,too expensive | conector:but | estrellas_bajas",0.9,alta,negativo
gm_91a6706baa9db139,Santuario Histórico de Machu Picchu,Google Maps,en,2,2019-07-28T22:08:14.049Z,"My rating and comments are not related to the Machu Picchu itself (which is definitely one of the wonder of the world) but by the way visits are organized. It has unfortunately turned into a tourist zoo -it’s seem to be more daily tourists than the theoretical 2500 tickets allowance -visit must follow a one way buckle path, forget about following your inspiration to walk around -you must cross and queue within an horrible and crowded tourist village located around the train station -be also ready to queue within train station, to get on board the bus to go down, to enter the sight... -and obviously to contribute generously to Peruvian government budget",negativo,costos,"estrellas=2 | lex_neg:horrible,crowded | conector:unfortunately,but | estrellas_bajas",0.9,alta,negativo
gm_91a6706baa9db139,Santuario Histórico de Machu Picchu,Google Maps,en,2,2019-07-28T22:08:14.049Z,"My rating and comments are not related to the Machu Picchu itself (which is definitely one of the wonder of the world) but by the way visits are organized. It has unfortunately turned into a tourist zoo -it’s seem to be more daily tourists than the theoretical 2500 tickets allowance -visit must follow a one way buckle path, forget about following your inspiration to walk around -you must cross and queue within an horrible and crowded tourist village located around the train station -be also ready to queue within train station, to get on board the bus to go down, to enter the sight... -and obviously to contribute generously to Peruvian government budget",negativo,accesibilidad,"estrellas=2 | lex_neg:horrible,crowded | conector:unfortunately,but | estrellas_bajas",0.9,alta,negativo
gm_b7914cd3b5c170bb,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-09-11T18:04:42.495Z,"What a scam how to force people to buy their expensive buses, they don't let you climb sooner than 1 hour before the entrance time on the ticket, it means that you have only 1 hour to climb it or your ticket will expire. Insane how they force you to buy everything and even ruin your experience when you try to hike it on your own.",negativo,costos,"estrellas=1 | lex_neg:expensive,scam | estrellas_bajas",0.8,alta,negativo
gm_b7914cd3b5c170bb,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-09-11T18:04:42.495Z,"What a scam how to force people to buy their expensive buses, they don't let you climb sooner than 1 hour before the entrance time on the ticket, it means that you have only 1 hour to climb it or your ticket will expire. Insane how they force you to buy everything and even ruin your experience when you try to hike it on your own.",negativo,seguridad,"estrellas=1 | lex_neg:expensive,scam | estrellas_bajas",0.8,alta,ausente
gm_b7914cd3b5c170bb,Santuario Histórico de Machu Picchu,Google Maps,en,1,2024-09-11T18:04:42.495Z,"What a scam how to force people to buy their expensive buses, they don't let you climb sooner than 1 hour before the entrance time on the ticket, it means that you have only 1 hour to climb it or your ticket will expire. Insane how they force you to buy everything and even ruin your experience when you try to hike it on your own.",negativo,accesibilidad,"estrellas=1 | lex_neg:expensive,scam | estrellas_bajas",0.8,alta,negativo
gm_25130b6a0548657c,Líneas y Geoglifos de Nasca y Palpa,Google Maps,es,1,2022-09-15T14:47:14.608Z,"Lo que menos nos gustó de nuestro viaje a Perú. Las líneas en sí son interesantes, pero todo lo que rodea a la gestión deja mucho que desear. Es muy caro para lo que ves, más el pago de 2 tasas diferentes una vez allí. Además, el vuelo en la avioneta dura media hora y las explicaciones son prácticamente inexistentes más allá de ""aquí tenemos la figura del mono"" En esa línea. Si pillara más de paso... Bueno. Pero pilla muy a desmano para solo media hora de sobrevuelo y ninguna explicación. Nos explicaron mil veces más cosas en Paracas sobre la única figura del candelabro que se encuentra allí, que en todas estas figuras en Nazca.",negativo,costos,estrellas=1 | lex_neg:caro | conector:pero | estrellas_bajas,0.7,alta,negativo
gm_25130b6a0548657c,Líneas y Geoglifos de Nasca y Palpa,Google Maps,es,1,2022-09-15T14:47:14.608Z,"Lo que menos nos gustó de nuestro viaje a Perú. Las líneas en sí son interesantes, pero todo lo que rodea a la gestión deja mucho que desear. Es muy caro para lo que ves, más el pago de 2 tasas diferentes una vez allí. Además, el vuelo en la avioneta dura media hora y las explicaciones son prácticamente inexistentes más allá de ""aquí tenemos la figura del mono"" En esa línea. Si pillara más de paso... Bueno. Pero pilla muy a desmano para solo media hora de sobrevuelo y ninguna explicación. Nos explicaron mil veces más cosas en Paracas sobre la única figura del candelabro que se encuentra allí, que en todas estas figuras en Nazca.",negativo,atencion_servicio,estrellas=1 | lex_neg:caro | conector:pero | estrellas_bajas,0.7,alta,negativo
