annotation_id,review_uid,destination,language_review,aspecto,text_clean,input_modelo,label
gm_c88a9acdaa1c90a7__limpieza,gm_c88a9acdaa1c90a7,Reserva Nacional de Paracas,es,limpieza,"Hermoso lugar, una de las mejores playas del Perú. Faltan tachos de basura abajo.","aspecto: limpieza reseña: Hermoso lugar, una de las mejores playas del Perú. Faltan tachos de basura abajo.",negativo
gm_82ba02cef00c7e63__seguridad,gm_82ba02cef00c7e63,Centro Histórico de Lima,es,seguridad,Siempre bonito estar por la Plaza. Especialmente en fiestas especiales. Las presentaciones y museos siempre disponibles y no tan inseguro como antes. Está bien cuidado.,aspecto: seguridad reseña: Siempre bonito estar por la Plaza. Especialmente en fiestas especiales. Las presentaciones y museos siempre disponibles y no tan inseguro como antes. Está bien cuidado.,positivo
gm_0b482a21d65948d7__accesibilidad,gm_0b482a21d65948d7,Valle del Colca,en,accesibilidad,"It is a long (but not particularly dangerous) drive there and back, particularly if the tour bus makes stops at the hot springs. The canyon is not as vibrant as the Grand Canyon, but it is the second deepest in the world (after Cotahuasi). There are quite a number of impressive condors each morning.","aspecto: accesibilidad reseña: It is a long (but not particularly dangerous) drive there and back, particularly if the tour bus makes stops at the hot springs. The canyon is not as vibrant as the Grand Canyon, but it is the second deepest in the world (after Cotahuasi). There are quite a number of impressive condors each morning.",ausente
gm_48e3dc7e15757178__limpieza,gm_48e3dc7e15757178,Santuario Histórico de Machu Picchu,en,limpieza,"Machu Picchu Mountain used to be free to hike (with your day-pass to the park), but now comes at an additional charge to your ticket. I'm from Alaska, and no stranger to hiking mountains, 2-3 thousand feet of elevation in an afternoon is no problem for me, so I didn't expect issues on this trail. But hiking at elevation is a different ball-game, it was a completely geuling trek. And due to the new ticketing system, you have to be out of the park by noon (only the morning ticket holders can buy the mountain trail pass) so there's really a rush to get up and down in time to see some of the rest of the park before you have to leave. The trail is poorly managed and cared for with trash everywhere, and even a few spots that have become informal lavatories, and have not been cleaned up in some time. And that isn't even to mention the insanity that is getting to the park in the first place. If you read on the official website not to bring food, plastic water bottles, or trekking polls, forget all that; nobody on the park staff cares about any of the rules, and following them made the hike much more difficult than it would otherwise have had to be, especially with a bad knee that hurts going downhill, I would have loved to have my trekking polls with me, well, plenty of people ignored the rules and were let right in with all their snacks, extra water, and polls. It's not all bad, there are several bluffs and overlooks on the way up that offer absolutely incredible views of the Machu Picchu site, and surrounding valley, some were even better than the view from the peak. And you're hiking on original Inca laid stone, which is an experience in itself. There are a few sections with sheer drops from with the trail maybe 2 feet wide amd there are no guard or hand rails, that's a little hair-raising, but most of the trail is 5 or 6 feet wide. At the top is a small roofless wooden structure with a few benches for resting (the only ones on the entire hike), and a sign with the peak's elevation. That's it. No signage about what the Inca used the top of the mountain for (it's their trail after all), or a map showing the location of other sites visible from the peak and how they related to each other, or anything at all informative, and although you're now required to enter the park with a guide, they don't go up the mountain with you, so no help there. All in all, I don't reccomend the mountain trail unless you're staying at the Belmond and already planning on more than one day in the park. The logistics of getting their are too crazy, and a half-day in the park too expensive to spend it on one hiking trail, the rest of the park is far more interesting anyway.","aspecto: limpieza reseña: Machu Picchu Mountain used to be free to hike (with your day-pass to the park), but now comes at an additional charge to your ticket. I'm from Alaska, and no stranger to hiking mountains, 2-3 thousand feet of elevation in an afternoon is no problem for me, so I didn't expect issues on this trail. But hiking at elevation is a different ball-game, it was a completely geuling trek. And due to the new ticketing system, you have to be out of the park by noon (only the morning ticket holders can buy the mountain trail pass) so there's really a rush to get up and down in time to see some of the rest of the park before you have to leave. The trail is poorly managed and cared for with trash everywhere, and even a few spots that have become informal lavatories, and have not been cleaned up in some time. And that isn't even to mention the insanity that is getting to the park in the first place. If you read on the official website not to bring food, plastic water bottles, or trekking polls, forget all that; nobody on the park staff cares about any of the rules, and following them made the hike much more difficult than it would otherwise have had to be, especially with a bad knee that hurts going downhill, I would have loved to have my trekking polls with me, well, plenty of people ignored the rules and were let right in with all their snacks, extra water, and polls. It's not all bad, there are several bluffs and overlooks on the way up that offer absolutely incredible views of the Machu Picchu site, and surrounding valley, some were even better than the view from the peak. And you're hiking on original Inca laid stone, which is an experience in itself. There are a few sections with sheer drops from with the trail maybe 2 feet wide amd there are no guard or hand rails, that's a little hair-raising, but most of the trail is 5 or 6 feet wide. At the top is a small roofless wooden structure with a few benches for resting (the only ones on the entire hike), and a sign with the peak's elevation. That's it. No signage about what the Inca used the top of the mountain for (it's their trail after all), or a map showing the location of other sites visible from the peak and how they related to each other, or anything at all informative, and although you're now required to enter the park with a guide, they don't go up the mountain with you, so no help there. All in all, I don't reccomend the mountain trail unless you're staying at the Belmond and already planning on more than one day in the park. The logistics of getting their are too crazy, and a half-day in the park too expensive to spend it on one hiking trail, the rest of the park is far more interesting anyway.",neutro
gm_e8baa400c800015c__atencion_servicio,gm_e8baa400c800015c,Centro Histórico de Lima,es,atencion_servicio,"Plaza con prados bien cuidados, limpia, y un paisaje muy bello para las fotos del recuerdo. Hay guías universitarios en todas las esquinas que hacen tour de 30 a 45 min solo por las propinas que el turista quiera aportar.","aspecto: atencion_servicio reseña: Plaza con prados bien cuidados, limpia, y un paisaje muy bello para las fotos del recuerdo. Hay guías universitarios en todas las esquinas que hacen tour de 30 a 45 min solo por las propinas que el turista quiera aportar.",neutro
gm_0a3619fd9d140abf__limpieza,gm_0a3619fd9d140abf,Museo Tumbas Reales del Señor de Sipán,es,limpieza,Muy limpio lo único malo es que no funciona el aire acondicionado y hace calor dentro,aspecto: limpieza reseña: Muy limpio lo único malo es que no funciona el aire acondicionado y hace calor dentro,positivo
gm_84590a34a757d4c6__atencion_servicio,gm_84590a34a757d4c6,Circuito Mágico del Agua,es,atencion_servicio,"El día de hoy me acerqué con mi familia a parque y la verdad que tuve una horrible experiencia la señorita que nos atendió fue muy grosera tirándome el dinero. Que pena Que uno llegue hacer turismo a peru y pasen estas cosas. Lo que deberían hacer es entrenar a su personal. Ya Que si Ella’s están trabajando ahí es por nosotros los visitantes, si no fuéramos nosotros no tendría trabajo. Ahí les dejo el recibo que nos acercamos hoy día y no se que nombre tuvo la señorita que nos atendió .","aspecto: atencion_servicio reseña: El día de hoy me acerqué con mi familia a parque y la verdad que tuve una horrible experiencia la señorita que nos atendió fue muy grosera tirándome el dinero. Que pena Que uno llegue hacer turismo a peru y pasen estas cosas. Lo que deberían hacer es entrenar a su personal. Ya Que si Ella’s están trabajando ahí es por nosotros los visitantes, si no fuéramos nosotros no tendría trabajo. Ahí les dejo el recibo que nos acercamos hoy día y no se que nombre tuvo la señorita que nos atendió .",negativo
gm_4bf7cd71e2dc35f3__seguridad,gm_4bf7cd71e2dc35f3,Centro Histórico de Lima,es,seguridad,"De hecho es una de las plazas de armas más grandes y bonitas de Sudamérica, tiene mucha historia y tradición es segura y vigilada pues ahí se encuentra el Palacio de gobierno, la catedral de Lima y la municipalidad al centro se puede apreciar una pileta grande rodeada de jardines, algo que a mí parecer no está nada bien es que en las escaleras de la catedral lugar donde muchas personas y turistas se sientan a tomar un respiro y descansar, donde niños juegan y se llevan la mano a la boca, en las está lleno de cucarachas los huecos de las escaleras tienen orificios que son nidos de estos insectos y lo peor frente al municipio capitalino que es quien debe velar por la limpieza además es algo que da muy mal aspecto a una plaza tan hermosa e importante como lo es la plaza mayor de la capital del Perú","aspecto: seguridad reseña: De hecho es una de las plazas de armas más grandes y bonitas de Sudamérica, tiene mucha historia y tradición es segura y vigilada pues ahí se encuentra el Palacio de gobierno, la catedral de Lima y la municipalidad al centro se puede apreciar una pileta grande rodeada de jardines, algo que a mí parecer no está nada bien es que en las escaleras de la catedral lugar donde muchas personas y turistas se sientan a tomar un respiro y descansar, donde niños juegan y se llevan la mano a la boca, en las está lleno de cucarachas los huecos de las escaleras tienen orificios que son nidos de estos insectos y lo peor frente al municipio capitalino que es quien debe velar por la limpieza además es algo que da muy mal aspecto a una plaza tan hermosa e importante como lo es la plaza mayor de la capital del Perú",positivo
gm_5ee6e4754c5f1e0c__limpieza,gm_5ee6e4754c5f1e0c,Monasterio de Santa Catalina,es,limpieza,"Si vas a Arequipa, y no vistas el Monasterio de Santa Catalina, te estarás perdiendo algo mágico en el centro de la ciudad, algo con mucha historia. Si sus muros hablaran nos podrían contar historias increíbles de lo que allí se ha vivido. Cuidado al detalle, con un precio para acceder muy razonable, limpio, con una cafetería donde tomar un refrigerio a la sombra de los muros. Un museo con gran variedad de obras de arte en pintura, escultura e incluso alguna custodia.","aspecto: limpieza reseña: Si vas a Arequipa, y no vistas el Monasterio de Santa Catalina, te estarás perdiendo algo mágico en el centro de la ciudad, algo con mucha historia. Si sus muros hablaran nos podrían contar historias increíbles de lo que allí se ha vivido. Cuidado al detalle, con un precio para acceder muy razonable, limpio, con una cafetería donde tomar un refrigerio a la sombra de los muros. Un museo con gran variedad de obras de arte en pintura, escultura e incluso alguna custodia.",positivo
gm_7e94d2a120698b0d__alojamiento,gm_7e94d2a120698b0d,Santuario Histórico de Machu Picchu,en,alojamiento,"It is one of those Once in a Lifetime kind of experiences, especially if you are traveling from Asia, it is so far to get to and it was almost 3 days of traveling before we actually set foot on Machu Picchu! Most people likely to fly into Cusco and somehow then find their way either by car or train to Aguas Calientes which is the town at the foothill of Machu Picchu. In fact it is also where most people will spend a night if you are not staying at the one and only hotel at the top, which is the Belmond Sanctuary. From Aguas Caliente, across the bridge from the train station and there’s where you will catch a bus up to Machu Picchu. The bus ride is only a short 15min through the winding road uphill or it is possible to hike up which may take you an hour. The current (as of June 18) entrance rule to the Machu Picchu is that there are 2 sessions a day from 6am-12pm and again 12pm-5:30pm. With each entrance ticket, you will get access to the park twice (in and out) as there are no toilet and food service inside the park, you will have to come out and go back in. Strongly recommend that you bring snacks and water as even outside the park, your food options are very limited with extremely long lines. The morning session is significantly more crowded than the afternoon. Since the Incan worship the sun, many visitors like to witness sunrise over Machu Picchu. In fact, you don't really get to see Sunrise as it is blocked by the surrounding mountains, but what you will see (on a clear day) is when the sunlight hits the ancient ruin, which is still a sight to behold. However, if you were only to do 1 entry (we did both the morning and afternoon), I would recommend the afternoon session as the site cleared out by 3pm and you almost have the entire place to yourself. It is then peaceful and quiet. Not only the morning session is filled with people who tries to get into the park for the sunrise, it s also when most Inca Trail hikers enter the park from the other end (through Sun Gate). So the place is rather noisy and crowded. Morning session has other disadvantage, since the bus service starts at 5:30am, there is a long line trying to get into the park before 6am official open time and by 6:30am, there isn't a line anymore. Another problem the morning session give you is that trying to catch a bus back down to Aguas Calientes right around noon (when the morning session ends) the line for the bus downhill can be more than an hour wait.","aspecto: alojamiento reseña: It is one of those Once in a Lifetime kind of experiences, especially if you are traveling from Asia, it is so far to get to and it was almost 3 days of traveling before we actually set foot on Machu Picchu! Most people likely to fly into Cusco and somehow then find their way either by car or train to Aguas Calientes which is the town at the foothill of Machu Picchu. In fact it is also where most people will spend a night if you are not staying at the one and only hotel at the top, which is the Belmond Sanctuary. From Aguas Caliente, across the bridge from the train station and there’s where you will catch a bus up to Machu Picchu. The bus ride is only a short 15min through the winding road uphill or it is possible to hike up which may take you an hour. The current (as of June 18) entrance rule to the Machu Picchu is that there are 2 sessions a day from 6am-12pm and again 12pm-5:30pm. With each entrance ticket, you will get access to the park twice (in and out) as there are no toilet and food service inside the park, you will have to come out and go back in. Strongly recommend that you bring snacks and water as even outside the park, your food options are very limited with extremely long lines. The morning session is significantly more crowded than the afternoon. Since the Incan worship the sun, many visitors like to witness sunrise over Machu Picchu. In fact, you don't really get to see Sunrise as it is blocked by the surrounding mountains, but what you will see (on a clear day) is when the sunlight hits the ancient ruin, which is still a sight to behold. However, if you were only to do 1 entry (we did both the morning and afternoon), I would recommend the afternoon session as the site cleared out by 3pm and you almost have the entire place to yourself. It is then peaceful and quiet. Not only the morning session is filled with people who tries to get into the park for the sunrise, it s also when most Inca Trail hikers enter the park from the other end (through Sun Gate). So the place is rather noisy and crowded. Morning session has other disadvantage, since the bus service starts at 5:30am, there is a long line trying to get into the park before 6am official open time and by 6:30am, there isn't a line anymore. Another problem the morning session give you is that trying to catch a bus back down to Aguas Calientes right around noon (when the morning session ends) the line for the bus downhill can be more than an hour wait.",neutro
