review_uid,aspecto,destination,text_clean,label,input_modelo
gm_0dd20b70afeaafa1,atractivos,Catarata de Ahuashiyacu,"Lugar muy bonito, algo pequeño, limitado en espacio, muy recomendado para ir con los amigos y la familia, se respira un ambiente natural.",positivo,"aspecto: atractivos reseña: Lugar muy bonito, algo pequeño, limitado en espacio, muy recomendado para ir con los amigos y la familia, se respira un ambiente natural."
gm_0542c238d1cf39bc,atractivos,Catarata de Ahuashiyacu,"Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏",positivo,"aspecto: atractivos reseña: Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏"
gm_d5b9afb60233fc3a,atractivos,Catarata de Ahuashiyacu,No recomendado... Demasiado tiempo de espera... Por fin entramos pero fue una decepción el ambiente tenía olor a orina.... Crítica constructiva : utilizen el dinero de las entradas para una mejor atención e higiene... Mi familia y yo entramos y salimos no disfrutamos nada de nada,negativo,aspecto: atractivos reseña: No recomendado... Demasiado tiempo de espera... Por fin entramos pero fue una decepción el ambiente tenía olor a orina.... Crítica constructiva : utilizen el dinero de las entradas para una mejor atención e higiene... Mi familia y yo entramos y salimos no disfrutamos nada de nada
gm_1cb59288bfae8891,atractivos,Catarata de Ahuashiyacu,Vale mucho la pena la cascada La Golondrina (la entrada está dentro del camino a la catarata). La caminata es difícil por los resbalones pero el paisaje al llegar impresionante.,positivo,aspecto: atractivos reseña: Vale mucho la pena la cascada La Golondrina (la entrada está dentro del camino a la catarata). La caminata es difícil por los resbalones pero el paisaje al llegar impresionante.
gm_80445b0493b0eb21,atractivos,Catarata de Ahuashiyacu,"Un estupendo lugar para relajarse y tomar un buen baño, sin contar la hermosa vista que ofrece",positivo,"aspecto: atractivos reseña: Un estupendo lugar para relajarse y tomar un buen baño, sin contar la hermosa vista que ofrece"
gm_5876211a3d6ff33a,atractivos,Catarata de Ahuashiyacu,Me encantó este lugar maravilloso por la naturaleza.se respira aire puro sin nada de contaminación.y por que tambien es mi hogar Mi Selva lo Maximo.,positivo,aspecto: atractivos reseña: Me encantó este lugar maravilloso por la naturaleza.se respira aire puro sin nada de contaminación.y por que tambien es mi hogar Mi Selva lo Maximo.
gm_12294e5f754b272f,atractivos,Catarata de Ahuashiyacu,"Muy lindo todo, me toco dia de lluvia y lindo igual, cascada de 40m, esto lo hice a traves de una empresa de tour ""kuri tour""",positivo,"aspecto: atractivos reseña: Muy lindo todo, me toco dia de lluvia y lindo igual, cascada de 40m, esto lo hice a traves de una empresa de tour ""kuri tour"""
gm_1a40f2a41a3b5335,atractivos,Catarata de Ahuashiyacu,"Un lugar muy bonito, rodeado de mucha naturaleza, masajes naturales con las aguas de las cataratas muy terapéutico.",positivo,"aspecto: atractivos reseña: Un lugar muy bonito, rodeado de mucha naturaleza, masajes naturales con las aguas de las cataratas muy terapéutico."
gm_5f78e10481d71c03,atractivos,Catarata de Ahuashiyacu,"El agua es muy fresca, es muy divertido y bonita . Tiene lugares indicados para cambiarse. En el camino hacia catarata , hay una bonita vista .🤗",positivo,"aspecto: atractivos reseña: El agua es muy fresca, es muy divertido y bonita . Tiene lugares indicados para cambiarse. En el camino hacia catarata , hay una bonita vista .🤗"
gm_b64d6c6a424db0e8,atractivos,Catarata de Ahuashiyacu,"Toda la atención de primera, un lindo lugar y la comida muy buena 😀",positivo,"aspecto: atractivos reseña: Toda la atención de primera, un lindo lugar y la comida muy buena 😀"
gm_deadd655464718ef,atractivos,Catarata de Ahuashiyacu,"Muy relajante, super hermosa, es lo mejor de la naturaleza, para darse un chapuzón y tomarse muchas fotitos .",positivo,"aspecto: atractivos reseña: Muy relajante, super hermosa, es lo mejor de la naturaleza, para darse un chapuzón y tomarse muchas fotitos ."
gm_4128e88bc3b925d2,atractivos,Catarata de Ahuashiyacu,"Muy bonita, lo malo es qué hay mucha gente y no se pueden hacer muchas tomas ya que todos tienen que tomarse.",positivo,"aspecto: atractivos reseña: Muy bonita, lo malo es qué hay mucha gente y no se pueden hacer muchas tomas ya que todos tienen que tomarse."
gm_dc1c5c6c90c6b5c7,atractivos,Catarata de Ahuashiyacu,"Beautiful waterfall, hike us easy, well maintained, paved with handrails in spots that could be tricky. Lots of steps, not too steep but if you have problems with your knees you will just go a little slower.",positivo,"aspecto: atractivos reseña: Beautiful waterfall, hike us easy, well maintained, paved with handrails in spots that could be tricky. Lots of steps, not too steep but if you have problems with your knees you will just go a little slower."
gm_23bc24deee977c0f,atractivos,Catarata de Ahuashiyacu,Super bonito la entrada es barata y esta bien mantenido /podria tener mas cambiadored,positivo,aspecto: atractivos reseña: Super bonito la entrada es barata y esta bien mantenido /podria tener mas cambiadored
gm_b30d76f7789873bc,atractivos,Catarata de Ahuashiyacu,"Maravilloso. Recomiendo llevar protector para celular contra agua, si es que se van a tomar fotos",positivo,"aspecto: atractivos reseña: Maravilloso. Recomiendo llevar protector para celular contra agua, si es que se van a tomar fotos"
gm_ae9d7ba607844b85,atractivos,Catarata de Ahuashiyacu,"Un lugar increíble que tienen que conocer sin dudar, una caída de agua espectacular, no es tan ondo, la temperatura del agua esta en su punto ni tan fría ni tan caliente, perfecto para ir en familia, están dejando entrar a niños la entrada cuesta 10 soles y tiene duración de 1 hora en el lugar. En el mismo lugar puedes entrar a conocer la catarata golondrina o llegamos allá pero ahí dentro del lugar estar también.",positivo,"aspecto: atractivos reseña: Un lugar increíble que tienen que conocer sin dudar, una caída de agua espectacular, no es tan ondo, la temperatura del agua esta en su punto ni tan fría ni tan caliente, perfecto para ir en familia, están dejando entrar a niños la entrada cuesta 10 soles y tiene duración de 1 hora en el lugar. En el mismo lugar puedes entrar a conocer la catarata golondrina o llegamos allá pero ahí dentro del lugar estar también."
gm_8626e51e0414415d,atractivos,Catarata de Ahuashiyacu,"Un !Ugarte espectacular, lindo por donde vayas. El trato del personal que te hace la movilidad siempre amables. Muy atentos a las preguntas... Dentro de las cataratas tu mismo eres, nadie te guía, no te dan folletos. Es turismo vivencial 100%",positivo,"aspecto: atractivos reseña: Un !Ugarte espectacular, lindo por donde vayas. El trato del personal que te hace la movilidad siempre amables. Muy atentos a las preguntas... Dentro de las cataratas tu mismo eres, nadie te guía, no te dan folletos. Es turismo vivencial 100%"
gm_ec39fd15d7716947,atractivos,Catarata de Ahuashiyacu,"Bonito lugar, de preferencia lleven repelente por la cantidad de mosquitos y zancudos que hay.",positivo,"aspecto: atractivos reseña: Bonito lugar, de preferencia lleven repelente por la cantidad de mosquitos y zancudos que hay."
gm_eeee1366859b48e4,atractivos,Catarata de Ahuashiyacu,Muy bonito sus paisajes y la catarata excelente para conocer y disfrutar de lo nuestro esto es en Tarapoto Perú,positivo,aspecto: atractivos reseña: Muy bonito sus paisajes y la catarata excelente para conocer y disfrutar de lo nuestro esto es en Tarapoto Perú
gm_fbfc6e08407a7cc0,atractivos,Catarata de Ahuashiyacu,"Hermosa catarata, trayecto corto y agua helada. El paseo termina normalmente al mediodía por la lluvia.",positivo,"aspecto: atractivos reseña: Hermosa catarata, trayecto corto y agua helada. El paseo termina normalmente al mediodía por la lluvia."
