review_uid,aspecto,destination,text_clean,label,input_modelo
gm_84e28b0f36ed461d,atractivos,Catarata de Ahuashiyacu,"Este lugar es tan lindo que nunca voy a olvidar esa linda experiencia de visitar ese lugar,,Hernosa catarata y lo recomiendo visitar",positivo,"aspecto: atractivos reseña: Este lugar es tan lindo que nunca voy a olvidar esa linda experiencia de visitar ese lugar,,Hernosa catarata y lo recomiendo visitar"
gm_0542c238d1cf39bc,atractivos,Catarata de Ahuashiyacu,"Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏",positivo,"aspecto: atractivos reseña: Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏"
gm_d5b9afb60233fc3a,atractivos,Catarata de Ahuashiyacu,No recomendado... Demasiado tiempo de espera... Por fin entramos pero fue una decepción el ambiente tenía olor a orina.... Crítica constructiva : utilizen el dinero de las entradas para una mejor atención e higiene... Mi familia y yo entramos y salimos no disfrutamos nada de nada,negativo,aspecto: atractivos reseña: No recomendado... Demasiado tiempo de espera... Por fin entramos pero fue una decepción el ambiente tenía olor a orina.... Crítica constructiva : utilizen el dinero de las entradas para una mejor atención e higiene... Mi familia y yo entramos y salimos no disfrutamos nada de nada
gm_1cb59288bfae8891,atractivos,Catarata de Ahuashiyacu,Vale mucho la pena la cascada La Golondrina (la entrada está dentro del camino a la catarata). La caminata es difícil por los resbalones pero el paisaje al llegar impresionante.,positivo,aspecto: atractivos reseña: Vale mucho la pena la cascada La Golondrina (la entrada está dentro del camino a la catarata). La caminata es difícil por los resbalones pero el paisaje al llegar impresionante.
gm_80445b0493b0eb21,atractivos,Catarata de Ahuashiyacu,"Un estupendo lugar para relajarse y tomar un buen baño, sin contar la hermosa vista que ofrece",positivo,"aspecto: atractivos reseña: Un estupendo lugar para relajarse y tomar un buen baño, sin contar la hermosa vista que ofrece"
gm_6870739704c3b560,atractivos,Catarata de Ahuashiyacu,Sus cascadas relajantes sus guías Muy amables está limpio ay todos los protocolos recomendable para visitar,positivo,aspecto: atractivos reseña: Sus cascadas relajantes sus guías Muy amables está limpio ay todos los protocolos recomendable para visitar
gm_5876211a3d6ff33a,atractivos,Catarata de Ahuashiyacu,Me encantó este lugar maravilloso por la naturaleza.se respira aire puro sin nada de contaminación.y por que tambien es mi hogar Mi Selva lo Maximo.,positivo,aspecto: atractivos reseña: Me encantó este lugar maravilloso por la naturaleza.se respira aire puro sin nada de contaminación.y por que tambien es mi hogar Mi Selva lo Maximo.
gm_e4c7ac7ef37bebd4,atractivos,Catarata de Ahuashiyacu,"Agradable lugar para tener contacto con la Naturaleza,si usted quiere bañar hace un frío 😂😂🤣",positivo,"aspecto: atractivos reseña: Agradable lugar para tener contacto con la Naturaleza,si usted quiere bañar hace un frío 😂😂🤣"
gm_5f78e10481d71c03,atractivos,Catarata de Ahuashiyacu,"El agua es muy fresca, es muy divertido y bonita . Tiene lugares indicados para cambiarse. En el camino hacia catarata , hay una bonita vista .🤗",positivo,"aspecto: atractivos reseña: El agua es muy fresca, es muy divertido y bonita . Tiene lugares indicados para cambiarse. En el camino hacia catarata , hay una bonita vista .🤗"
gm_cfbe9963c16d4634,atractivos,Catarata de Ahuashiyacu,"Fuimos a mediados de enero y nos agarro una lluvia suave que hizo el camino diría yo más agradable, tomamos un tour en los alrededores de la plaza de armas de tarapoto, llegamos al parque y esperamos cerca de 30 minutos por nuestro turno para ingresar, solo podemos estar 1 hora, se hace una caminata de unos 10 minutos antes de llegar a la catarata, el camino está bien señalado y es de fácil acceso, nos tomamos fotos junto a la catarata e ingresamos rápidamente a pesar de la lluvia y lo helada del agua para la foto. Lugar recomendado.",positivo,"aspecto: atractivos reseña: Fuimos a mediados de enero y nos agarro una lluvia suave que hizo el camino diría yo más agradable, tomamos un tour en los alrededores de la plaza de armas de tarapoto, llegamos al parque y esperamos cerca de 30 minutos por nuestro turno para ingresar, solo podemos estar 1 hora, se hace una caminata de unos 10 minutos antes de llegar a la catarata, el camino está bien señalado y es de fácil acceso, nos tomamos fotos junto a la catarata e ingresamos rápidamente a pesar de la lluvia y lo helada del agua para la foto. Lugar recomendado."
gm_b64d6c6a424db0e8,atractivos,Catarata de Ahuashiyacu,"Toda la atención de primera, un lindo lugar y la comida muy buena 😀",positivo,"aspecto: atractivos reseña: Toda la atención de primera, un lindo lugar y la comida muy buena 😀"
gm_deadd655464718ef,atractivos,Catarata de Ahuashiyacu,"Muy relajante, super hermosa, es lo mejor de la naturaleza, para darse un chapuzón y tomarse muchas fotitos .",positivo,"aspecto: atractivos reseña: Muy relajante, super hermosa, es lo mejor de la naturaleza, para darse un chapuzón y tomarse muchas fotitos ."
gm_4128e88bc3b925d2,atractivos,Catarata de Ahuashiyacu,"Muy bonita, lo malo es qué hay mucha gente y no se pueden hacer muchas tomas ya que todos tienen que tomarse.",positivo,"aspecto: atractivos reseña: Muy bonita, lo malo es qué hay mucha gente y no se pueden hacer muchas tomas ya que todos tienen que tomarse."
gm_dc1c5c6c90c6b5c7,atractivos,Catarata de Ahuashiyacu,"Beautiful waterfall, hike us easy, well maintained, paved with handrails in spots that could be tricky. Lots of steps, not too steep but if you have problems with your knees you will just go a little slower.",positivo,"aspecto: atractivos reseña: Beautiful waterfall, hike us easy, well maintained, paved with handrails in spots that could be tricky. Lots of steps, not too steep but if you have problems with your knees you will just go a little slower."
gm_7013e9207318f26f,atractivos,Catarata de Ahuashiyacu,"Bonito Lugar para conocer cerca a Tarapoto, donde la naciente de un río en las alturas del cerro escalera forma la caída de un chorro que da origen al río Ahuashiyacu. Bañarse en estas aguas frescas al amanecer es un buen relajante para iniciar nuevamente. Visítenlo.",positivo,"aspecto: atractivos reseña: Bonito Lugar para conocer cerca a Tarapoto, donde la naciente de un río en las alturas del cerro escalera forma la caída de un chorro que da origen al río Ahuashiyacu. Bañarse en estas aguas frescas al amanecer es un buen relajante para iniciar nuevamente. Visítenlo."
gm_23bc24deee977c0f,atractivos,Catarata de Ahuashiyacu,Super bonito la entrada es barata y esta bien mantenido /podria tener mas cambiadored,positivo,aspecto: atractivos reseña: Super bonito la entrada es barata y esta bien mantenido /podria tener mas cambiadored
