review_uid,destination,source,language_review,stars,publishedAtDate,text_clean,pool,atractivos,costos,seguridad,accesibilidad,limpieza,atencion_servicio,gastronomia,alojamiento
gm_84e28b0f36ed461d,Catarata de Ahuashiyacu,Google Maps,es,5,2021-10-25T17:02:58.169Z,"Este lugar es tan lindo que nunca voy a olvidar esa linda experiencia de visitar ese lugar,,Hernosa catarata y lo recomiendo visitar",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_0dd20b70afeaafa1,Catarata de Ahuashiyacu,Google Maps,es,5,2021-10-03T23:51:52.114Z,"Lugar muy bonito, algo pequeño, limitado en espacio, muy recomendado para ir con los amigos y la familia, se respira un ambiente natural.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_0542c238d1cf39bc,Catarata de Ahuashiyacu,Google Maps,es,5,2026-05-30T13:01:57.096Z,"Agradezco a Dios 🙏 por tanto 🤲💃🤲Una de las maravillas de la naturaleza cerca a la cuidad, quede feliz, y fascinada de tanta belleza 🤲💃🤲 cumplió mi expectativa al máximo ✨💃✨ gracias 🙏🙏🙏",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_d5b9afb60233fc3a,Catarata de Ahuashiyacu,Google Maps,es,1,2022-08-01T14:56:53.774Z,No recomendado... Demasiado tiempo de espera... Por fin entramos pero fue una decepción el ambiente tenía olor a orina.... Crítica constructiva : utilizen el dinero de las entradas para una mejor atención e higiene... Mi familia y yo entramos y salimos no disfrutamos nada de nada,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_1cb59288bfae8891,Catarata de Ahuashiyacu,Google Maps,es,5,2022-11-21T23:07:19.661Z,Vale mucho la pena la cascada La Golondrina (la entrada está dentro del camino a la catarata). La caminata es difícil por los resbalones pero el paisaje al llegar impresionante.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_80445b0493b0eb21,Catarata de Ahuashiyacu,Google Maps,es,5,2019-01-19T21:27:03.181Z,"Un estupendo lugar para relajarse y tomar un buen baño, sin contar la hermosa vista que ofrece",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_27152a1d7f1a69a5,Catarata de Ahuashiyacu,Google Maps,es,5,2021-06-03T18:05:31.674Z,"Un lugar donde se puede realizar turismo , sobre todo ir a divertirte con la familia , Dada las circunstancias del covid hoy en día atiende con todas las medidas respectivas , pero sigue siendo un lugar lleno de muchas expectativas para el público en general",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_509589ff8d6c834a,Catarata de Ahuashiyacu,Google Maps,es,4,2019-02-19T22:24:53.305Z,"Excelente Catarata, lleno de vegetación, con un tramo de caminata agradable, el agua bien helada, muy buena",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_6870739704c3b560,Catarata de Ahuashiyacu,Google Maps,es,5,2022-06-12T12:28:31.384Z,Sus cascadas relajantes sus guías Muy amables está limpio ay todos los protocolos recomendable para visitar,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_5876211a3d6ff33a,Catarata de Ahuashiyacu,Google Maps,es,5,2020-03-15T19:55:03.592Z,Me encantó este lugar maravilloso por la naturaleza.se respira aire puro sin nada de contaminación.y por que tambien es mi hogar Mi Selva lo Maximo.,A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_e4c7ac7ef37bebd4,Catarata de Ahuashiyacu,Google Maps,es,5,2024-06-24T17:19:07.587Z,"Agradable lugar para tener contacto con la Naturaleza,si usted quiere bañar hace un frío 😂😂🤣",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_12294e5f754b272f,Catarata de Ahuashiyacu,Google Maps,es,5,2025-02-10T23:51:22.388Z,"Muy lindo todo, me toco dia de lluvia y lindo igual, cascada de 40m, esto lo hice a traves de una empresa de tour ""kuri tour""",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_dc158eadbafdcf36,Catarata de Ahuashiyacu,Google Maps,es,5,2026-01-30T12:40:32.503Z,"Muy bonito, deben llevar cambio de ropa o ir con algo ligero porque te mojas y repelente para los zancudos",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_1a40f2a41a3b5335,Catarata de Ahuashiyacu,Google Maps,es,3,2022-01-05T13:12:11.758Z,"Un lugar muy bonito, rodeado de mucha naturaleza, masajes naturales con las aguas de las cataratas muy terapéutico.",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
gm_5f78e10481d71c03,Catarata de Ahuashiyacu,Google Maps,es,4,2021-01-29T13:51:43.090Z,"El agua es muy fresca, es muy divertido y bonita . Tiene lugares indicados para cambiarse. En el camino hacia catarata , hay una bonita vista .🤗",A_representativo,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
