destination,aspecto,n_menciones,n_reviews_unique,n_pos,n_neu,n_neg,pct_pos,pct_neu,pct_neg,sentiment_score,confidence,score_ajustado,score_normalizado_0_1,evidence_status,conflict_flag,dominant_label
Catarata de Ahuashiyacu,atractivos,609,609,603,3,3,99.01,0.49,0.49,0.9852,1.0,0.9852,0.9926,evidencia_suficiente,0,positivo
Catarata de Ahuashiyacu,costos,95,95,48,37,10,50.53,38.95,10.53,0.4,1.0,0.4,0.7,evidencia_suficiente,0,positivo
Catarata de Ahuashiyacu,seguridad,65,65,26,34,5,40.0,52.31,7.69,0.3231,1.0,0.3231,0.6615,evidencia_suficiente,0,neutro
Catarata de Ahuashiyacu,accesibilidad,176,176,120,46,10,68.18,26.14,5.68,0.625,1.0,0.625,0.8125,evidencia_suficiente,0,positivo
Catarata de Ahuashiyacu,limpieza,105,105,71,31,3,67.62,29.52,2.86,0.6476,1.0,0.6476,0.8238,evidencia_suficiente,0,positivo
Catarata de Ahuashiyacu,atencion_servicio,59,59,38,21,0,64.41,35.59,0.0,0.6441,1.0,0.6441,0.822,evidencia_suficiente,0,positivo
Catarata de Ahuashiyacu,gastronomia,85,85,36,48,1,42.35,56.47,1.18,0.4118,1.0,0.4118,0.7059,evidencia_suficiente,0,neutro
Catarata de Ahuashiyacu,alojamiento,2,2,2,0,0,100.0,0.0,0.0,1.0,0.2,0.2,0.6,evidencia_insuficiente,0,positivo
Circuito Mágico del Agua,atractivos,777,777,744,26,7,95.75,3.35,0.9,0.9485,1.0,0.9485,0.9743,evidencia_suficiente,0,positivo
Circuito Mágico del Agua,costos,352,352,185,126,41,52.56,35.8,11.65,0.4091,1.0,0.4091,0.7045,evidencia_suficiente,0,positivo
Circuito Mágico del Agua,seguridad,34,34,20,10,4,58.82,29.41,11.76,0.4706,1.0,0.4706,0.7353,evidencia_suficiente,0,positivo
Circuito Mágico del Agua,accesibilidad,192,192,77,104,11,40.1,54.17,5.73,0.3438,1.0,0.3438,0.6719,evidencia_suficiente,0,neutro
Circuito Mágico del Agua,limpieza,79,79,37,34,8,46.84,43.04,10.13,0.3671,1.0,0.3671,0.6835,evidencia_suficiente,0,positivo
Circuito Mágico del Agua,atencion_servicio,80,80,48,31,1,60.0,38.75,1.25,0.5875,1.0,0.5875,0.7937,evidencia_suficiente,0,positivo
Circuito Mágico del Agua,gastronomia,70,70,20,50,0,28.57,71.43,0.0,0.2857,1.0,0.2857,0.6429,evidencia_suficiente,0,neutro
Circuito Mágico del Agua,alojamiento,30,30,16,14,0,53.33,46.67,0.0,0.5333,1.0,0.5333,0.7667,evidencia_suficiente,0,positivo
Ciudadela de Kuélap,atractivos,908,908,882,15,11,97.14,1.65,1.21,0.9593,1.0,0.9593,0.9796,evidencia_suficiente,0,positivo
Ciudadela de Kuélap,costos,164,164,71,74,19,43.29,45.12,11.59,0.3171,1.0,0.3171,0.6585,evidencia_suficiente,0,neutro
Ciudadela de Kuélap,seguridad,49,49,25,16,8,51.02,32.65,16.33,0.3469,1.0,0.3469,0.6735,evidencia_suficiente,0,positivo
Ciudadela de Kuélap,accesibilidad,315,315,157,134,24,49.84,42.54,7.62,0.4222,1.0,0.4222,0.7111,evidencia_suficiente,0,positivo
Ciudadela de Kuélap,limpieza,84,84,42,28,14,50.0,33.33,16.67,0.3333,1.0,0.3333,0.6667,evidencia_suficiente,0,positivo
Ciudadela de Kuélap,atencion_servicio,189,189,106,77,6,56.08,40.74,3.17,0.5291,1.0,0.5291,0.7646,evidencia_suficiente,0,positivo
Ciudadela de Kuélap,gastronomia,102,102,32,68,2,31.37,66.67,1.96,0.2941,1.0,0.2941,0.6471,evidencia_suficiente,0,neutro
Ciudadela de Kuélap,alojamiento,44,44,22,18,4,50.0,40.91,9.09,0.4091,1.0,0.4091,0.7045,evidencia_suficiente,0,positivo
Complejo Arqueológico Chan Chan,atractivos,467,467,426,37,4,91.22,7.92,0.86,0.9036,1.0,0.9036,0.9518,evidencia_suficiente,0,positivo
Complejo Arqueológico Chan Chan,costos,116,116,58,46,12,50.0,39.66,10.34,0.3966,1.0,0.3966,0.6983,evidencia_suficiente,0,positivo
