user_id,perfil_turistico,perfil_turistico_descripcion,presupuesto_rango,presupuesto_disponible_soles,presupuesto_score,dias_viaje,dias_score,duracion_tipo,tolerancia_multitudes,tolerancia_multitudes_score,intereses_principales,interes_cultura,interes_naturaleza,interes_gastronomia,interes_aventura,interes_urbano,interes_rural,interes_fotografia,interes_compras,interes_relajacion,preferencia_climatica,clima_templado,clima_calido,clima_frio,clima_seco,clima_indiferente,motivo_viaje,motivo_vacaciones,motivo_recreacion,motivo_visita_a_familiares_amigos,motivo_academico,motivo_negocios,motivo_religioso,peso_presupuesto,peso_dias,peso_motivo,peso_intereses,peso_multitudes,peso_clima,validado_montecarlo,estado_validacion_montecarlo,porcentaje_categorias_aceptables,categorias_a_revisar,fecha_validacion,origen_dato
U00001,urbano_recreativo,Turista urbano/recreativo,Medio,785,0.2854,5,0.6667,Media,Media,0.5,"urbano, gastronomia",0,0,1,0,1,0,0,0,0,Seco,0,0,0,1,0,Recreación,0,1,0,0,0,0,0.1531,0.0994,0.1433,0.3409,0.1466,0.1167,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00002,naturalista,Turista naturalista,Medio,969,0.3621,3,0.3333,Media,Baja,0.0,"naturaleza, aventura, rural",0,1,0,1,0,1,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1722,0.1249,0.1176,0.3673,0.093,0.1249,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00003,gastronomico,Turista gastronómico,Medio,707,0.2529,3,0.3333,Media,Alta,1.0,"gastronomia, cultura, urbano",1,0,1,0,1,0,0,0,0,Frío,0,0,1,0,0,Vacaciones,1,0,0,0,0,0,0.153,0.108,0.1291,0.4088,0.0879,0.1131,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00004,cultural,Turista cultural,Alto,1412,0.5467,3,0.3333,Media,Alta,1.0,"cultura, urbano, fotografia",1,0,0,0,1,0,1,0,0,Templado,1,0,0,0,0,Negocios,0,0,0,0,1,0,0.1421,0.1089,0.1403,0.37,0.1038,0.1349,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00005,cultural,Turista cultural,Medio,471,0.1546,4,0.5,Media,Baja,0.0,"cultura, urbano, naturaleza",1,1,0,0,1,0,0,0,0,Templado,1,0,0,0,0,Recreación,0,1,0,0,0,0,0.1381,0.1161,0.123,0.3831,0.0988,0.1409,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00006,cultural,Turista cultural,Bajo,346,0.1025,5,0.6667,Media,Media,0.5,"cultura, fotografia",1,0,0,0,0,0,1,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1382,0.1066,0.138,0.3822,0.0999,0.1352,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00007,economico_mochilero,Turista económico/mochilero,Bajo,176,0.0317,3,0.3333,Media,Alta,1.0,"naturaleza, cultura",1,1,0,0,0,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.2861,0.1155,0.0984,0.2795,0.1131,0.1074,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00008,naturalista,Turista naturalista,Medio,966,0.3608,5,0.6667,Media,Media,0.5,"naturaleza, aventura, fotografia",0,1,0,1,0,0,1,0,0,Seco,0,0,0,1,0,Vacaciones,1,0,0,0,0,0,0.1521,0.1384,0.13,0.3489,0.0886,0.142,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00009,urbano_recreativo,Turista urbano/recreativo,Medio,734,0.2642,1,0.0,Corta,Alta,1.0,"urbano, gastronomia",0,0,1,0,1,0,0,0,0,Cálido,0,1,0,0,0,Vacaciones,1,0,0,0,0,0,0.1609,0.1081,0.1333,0.3335,0.1448,0.1193,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00010,economico_mochilero,Turista económico/mochilero,Bajo,327,0.0946,4,0.5,Media,Baja,0.0,"naturaleza, cultura",1,1,0,0,0,0,0,0,0,Cálido,0,1,0,0,0,Vacaciones,1,0,0,0,0,0,0.2991,0.129,0.1217,0.2656,0.0895,0.0951,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00011,familiar,Turista familiar,Medio,907,0.3362,4,0.5,Media,Media,0.5,"cultura, naturaleza, fotografia",1,1,0,0,0,0,1,0,0,Cálido,0,1,0,0,0,Vacaciones,1,0,0,0,0,0,0.1829,0.1092,0.1193,0.3107,0.1609,0.1169,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00012,aventurero,Turista aventurero,Alto,1086,0.4108,7,1.0,Larga,Alta,1.0,"aventura, naturaleza, rural",0,1,0,1,0,1,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1391,0.135,0.1237,0.3945,0.1017,0.1061,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00013,gastronomico,Turista gastronómico,Medio,612,0.2133,3,0.3333,Media,Media,0.5,"gastronomia, cultura, relajacion",1,0,1,0,0,0,0,0,1,Cálido,0,1,0,0,0,Vacaciones,1,0,0,0,0,0,0.1674,0.1114,0.1271,0.3773,0.1077,0.1091,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00014,naturalista,Turista naturalista,Medio,654,0.2308,7,1.0,Larga,Media,0.5,"naturaleza, fotografia",0,1,0,0,0,0,1,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1547,0.115,0.1281,0.3667,0.1068,0.1287,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00015,cultural,Turista cultural,Medio,767,0.2779,5,0.6667,Media,Alta,1.0,"cultura, urbano",1,0,0,0,1,0,0,0,0,Seco,0,0,0,1,0,Vacaciones,1,0,0,0,0,0,0.1289,0.1194,0.1297,0.3713,0.1115,0.1392,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00016,economico_mochilero,Turista económico/mochilero,Bajo,395,0.1229,5,0.6667,Media,Alta,1.0,"naturaleza, aventura, urbano",0,1,0,1,1,0,0,0,0,Templado,1,0,0,0,0,Visita a familiares/amigos,0,0,1,0,0,0,0.3119,0.1128,0.1025,0.2737,0.0915,0.1077,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00017,cultural,Turista cultural,Medio,856,0.315,2,0.1667,Corta,Alta,1.0,"cultura, urbano, naturaleza",1,1,0,0,1,0,0,0,0,Templado,1,0,0,0,0,Visita a familiares/amigos,0,0,1,0,0,0,0.1454,0.1163,0.118,0.3851,0.1042,0.131,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00018,aventurero,Turista aventurero,Medio,619,0.2162,3,0.3333,Media,Media,0.5,"aventura, rural",0,0,0,1,0,1,0,0,0,Cálido,0,1,0,0,0,Recreación,0,1,0,0,0,0,0.1432,0.1337,0.1273,0.3856,0.1138,0.0963,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00019,cultural,Turista cultural,Alto,1618,0.6325,5,0.6667,Media,Media,0.5,"cultura, urbano",1,0,0,0,1,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1506,0.0974,0.1386,0.3759,0.0944,0.1432,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00020,cultural,Turista cultural,Medio,475,0.1562,1,0.0,Corta,Baja,0.0,"cultura, fotografia, gastronomia",1,0,1,0,0,0,1,0,0,Indiferente,0,0,0,0,1,Vacaciones,1,0,0,0,0,0,0.1348,0.1054,0.1317,0.3751,0.1104,0.1426,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00021,naturalista,Turista naturalista,Medio,468,0.1533,4,0.5,Media,Media,0.5,"naturaleza, cultura",1,1,0,0,0,0,0,0,0,Templado,1,0,0,0,0,Recreación,0,1,0,0,0,0,0.1485,0.1423,0.1196,0.3651,0.1056,0.1189,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00022,economico_mochilero,Turista económico/mochilero,Bajo,349,0.1037,6,0.8333,Larga,Baja,0.0,"naturaleza, cultura, urbano",1,1,0,0,1,0,0,0,0,Seco,0,0,0,1,0,Recreación,0,1,0,0,0,0,0.2867,0.1268,0.1205,0.2723,0.0875,0.1061,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00023,economico_mochilero,Turista económico/mochilero,Bajo,369,0.1121,6,0.8333,Larga,Media,0.5,"naturaleza, cultura, fotografia, gastronomia",1,1,1,0,0,0,1,0,0,Indiferente,0,0,0,0,1,Vacaciones,1,0,0,0,0,0,0.2994,0.1096,0.1084,0.2758,0.1144,0.0923,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00024,aventurero,Turista aventurero,Alto,1095,0.4146,6,0.8333,Larga,Alta,1.0,"aventura, naturaleza",0,1,0,1,0,0,0,0,0,Seco,0,0,0,1,0,Recreación,0,1,0,0,0,0,0.1601,0.1343,0.1233,0.38,0.1057,0.0966,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00025,cultural,Turista cultural,Alto,1049,0.3954,4,0.5,Media,Media,0.5,"cultura, urbano",1,0,0,0,1,0,0,0,0,Templado,1,0,0,0,0,Recreación,0,1,0,0,0,0,0.1427,0.0954,0.1391,0.3822,0.0981,0.1424,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00026,familiar,Turista familiar,Medio,487,0.1613,5,0.6667,Media,Media,0.5,"cultura, naturaleza",1,1,0,0,0,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1787,0.1158,0.12,0.2979,0.1621,0.1254,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00027,familiar,Turista familiar,Bajo,192,0.0383,4,0.5,Media,Media,0.5,"cultura, naturaleza, relajacion, gastronomia",1,1,1,0,0,0,0,0,1,Indiferente,0,0,0,0,1,Vacaciones,1,0,0,0,0,0,0.1717,0.128,0.1459,0.3007,0.1382,0.1154,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00028,economico_mochilero,Turista económico/mochilero,Medio,579,0.1996,2,0.1667,Corta,Media,0.5,"naturaleza, cultura",1,1,0,0,0,0,0,0,0,Cálido,0,1,0,0,0,Recreación,0,1,0,0,0,0,0.3057,0.114,0.1207,0.2584,0.0879,0.1133,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00029,urbano_recreativo,Turista urbano/recreativo,Medio,532,0.18,2,0.1667,Corta,Alta,1.0,"urbano, gastronomia",0,0,1,0,1,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1585,0.0895,0.1435,0.3338,0.1545,0.1201,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00030,naturalista,Turista naturalista,Alto,1982,0.7842,2,0.1667,Corta,Baja,0.0,"naturaleza, aventura, rural, urbano",0,1,0,1,1,1,0,0,0,Frío,0,0,1,0,0,Vacaciones,1,0,0,0,0,0,0.1749,0.132,0.1184,0.3555,0.0959,0.1233,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00031,familiar,Turista familiar,Alto,1576,0.615,2,0.1667,Corta,Media,0.5,"cultura, naturaleza, fotografia, relajacion",1,1,0,0,0,0,1,0,1,Indiferente,0,0,0,0,1,Vacaciones,1,0,0,0,0,0,0.1725,0.1278,0.1378,0.285,0.15,0.1268,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00032,naturalista,Turista naturalista,Medio,429,0.1371,4,0.5,Media,Media,0.5,"naturaleza, aventura, fotografia, cultura, relajacion",1,1,0,1,0,0,1,0,1,Frío,0,0,1,0,0,Visita a familiares/amigos,0,0,1,0,0,0,0.1455,0.143,0.1114,0.3501,0.1069,0.1431,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00033,naturalista,Turista naturalista,Medio,732,0.2633,1,0.0,Corta,Alta,1.0,"naturaleza, aventura, fotografia",0,1,0,1,0,0,1,0,0,Seco,0,0,0,1,0,Vacaciones,1,0,0,0,0,0,0.1654,0.1269,0.123,0.3562,0.0936,0.1349,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00034,familiar,Turista familiar,Medio,766,0.2775,5,0.6667,Media,Baja,0.0,"cultura, naturaleza, relajacion, gastronomia",1,1,1,0,0,0,0,0,1,Frío,0,0,1,0,0,Recreación,0,1,0,0,0,0,0.1884,0.1311,0.1189,0.2953,0.1595,0.1068,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00035,gastronomico,Turista gastronómico,Alto,1488,0.5783,4,0.5,Media,Alta,1.0,"gastronomia, urbano",0,0,1,0,1,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1493,0.1,0.1199,0.3975,0.0993,0.134,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00036,economico_mochilero,Turista económico/mochilero,Bajo,246,0.0608,4,0.5,Media,Media,0.5,"naturaleza, cultura, aventura",1,1,0,1,0,0,0,0,0,Seco,0,0,0,1,0,Recreación,0,1,0,0,0,0,0.3026,0.1197,0.1202,0.2541,0.1014,0.1019,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00037,naturalista,Turista naturalista,Medio,432,0.1383,5,0.6667,Media,Media,0.5,"naturaleza, fotografia",0,1,0,0,0,0,1,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1638,0.1373,0.1251,0.3621,0.0889,0.1229,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00038,economico_mochilero,Turista económico/mochilero,Medio,892,0.33,3,0.3333,Media,Media,0.5,"naturaleza, cultura, rural",1,1,0,0,0,1,0,0,0,Indiferente,0,0,0,0,1,Vacaciones,1,0,0,0,0,0,0.3049,0.1219,0.106,0.2769,0.0945,0.0958,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00039,aventurero,Turista aventurero,Bajo,342,0.1008,3,0.3333,Media,Media,0.5,"aventura, naturaleza",0,1,0,1,0,0,0,0,0,Frío,0,0,1,0,0,Vacaciones,1,0,0,0,0,0,0.1468,0.1154,0.1298,0.3897,0.0984,0.1199,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00040,familiar,Turista familiar,Alto,2388,0.9533,6,0.8333,Larga,Media,0.5,"cultura, naturaleza",1,1,0,0,0,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1879,0.1115,0.1408,0.309,0.1355,0.1154,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00041,familiar,Turista familiar,Medio,734,0.2642,5,0.6667,Media,Media,0.5,"cultura, urbano",1,0,0,0,1,0,0,0,0,Seco,0,0,0,1,0,Vacaciones,1,0,0,0,0,0,0.1813,0.126,0.136,0.2994,0.1374,0.1199,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00042,naturalista,Turista naturalista,Medio,885,0.3271,2,0.1667,Corta,Media,0.5,"naturaleza, fotografia, relajacion, urbano",0,1,0,0,1,0,1,0,1,Frío,0,0,1,0,0,Vacaciones,1,0,0,0,0,0,0.1503,0.1366,0.1273,0.356,0.1112,0.1186,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00043,urbano_recreativo,Turista urbano/recreativo,Medio,854,0.3142,4,0.5,Media,Media,0.5,"urbano, compras, cultura, relajacion",1,0,0,0,1,0,0,1,1,Frío,0,0,1,0,0,Vacaciones,1,0,0,0,0,0,0.1655,0.0966,0.1477,0.3291,0.1513,0.1097,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00044,cultural,Turista cultural,Alto,1412,0.5467,3,0.3333,Media,Baja,0.0,"cultura, fotografia",1,0,0,0,0,0,1,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1408,0.1041,0.1184,0.3868,0.1061,0.1438,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00045,naturalista,Turista naturalista,Medio,796,0.29,1,0.0,Corta,Media,0.5,"naturaleza, rural",0,1,0,0,0,1,0,0,0,Frío,0,0,1,0,0,Recreación,0,1,0,0,0,0,0.1496,0.1314,0.1314,0.3613,0.1048,0.1215,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00046,economico_mochilero,Turista económico/mochilero,Medio,758,0.2742,3,0.3333,Media,Media,0.5,"naturaleza, cultura",1,1,0,0,0,0,0,0,0,Seco,0,0,0,1,0,Vacaciones,1,0,0,0,0,0,0.3054,0.1174,0.1053,0.27,0.0952,0.1068,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00047,economico_mochilero,Turista económico/mochilero,Medio,706,0.2525,5,0.6667,Media,Alta,1.0,"naturaleza, cultura",1,1,0,0,0,0,0,0,0,Seco,0,0,0,1,0,Recreación,0,1,0,0,0,0,0.3001,0.1073,0.1176,0.2753,0.0917,0.108,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00048,gastronomico,Turista gastronómico,Medio,948,0.3533,4,0.5,Media,Media,0.5,"gastronomia, urbano, fotografia",0,0,1,0,1,0,1,0,0,Cálido,0,1,0,0,0,Visita a familiares/amigos,0,0,1,0,0,0,0.1693,0.1093,0.1216,0.3823,0.0895,0.128,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00049,economico_mochilero,Turista económico/mochilero,Bajo,377,0.1154,4,0.5,Media,Media,0.5,"naturaleza, cultura, rural, fotografia",1,1,0,0,0,1,1,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.2934,0.1337,0.1015,0.2672,0.0996,0.1045,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00050,naturalista,Turista naturalista,Alto,1938,0.7658,5,0.6667,Media,Baja,0.0,"naturaleza, aventura",0,1,0,1,0,0,0,0,0,Templado,1,0,0,0,0,Vacaciones,1,0,0,0,0,0,0.1539,0.1324,0.1219,0.37,0.1027,0.1191,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
U00051,naturalista,Turista naturalista,Medio,783,0.2846,7,1.0,Larga,Media,0.5,"naturaleza, rural",0,1,0,0,0,1,0,0,0,Templado,1,0,0,0,0,Recreación,0,1,0,0,0,0,0.1533,0.1232,0.1263,0.3614,0.0947,0.1411,True,VALIDADA,100.0,0,2026-06-17,sintetico_fase3_v3
